exhibitor_name,domain,contact_number,mail,location,country,company_name,booth,description,city,linkedin_url
"YUHUAN SUNSHI HVAC EQUIPMENT CO.,LTD",,,,Uzexpocentre NEC,China,"YUHUAN SUNSHI HVAC EQUIPMENT CO.,LTD",G 61,"Yuhuan Sunshi Hvac equipment Co., Ltd is a professional manufacturer of extensive range of high& medium brass ball valve, angle valve, bibcock, radiator valve , fittings. Manifold, TRV, hvac equipment related products .we also obtained CE, ACS, DVGW, WRAS ，CUPC,Poland Gas valve certificate EN331, Win the reputation among customers around world with reasonable price, excellent quality and fine after-sale service.",Tashkent,
"YUTARA, LTD",,,,Uzexpocentre NEC,Russian Federation,"YUTARA, LTD",H 56-1,"RTP LLC was founded in 2005 as a manufacturing company for the production of polymer pipes and fittings for the needs of the Russian and foreign markets. To date, RTP LLC: - Has modern European equipment - Uses high-quality raw materials and components - Produces more than 4,000 types of sanitary engineering products - Has achieved a significant position in the market of polymer pipes and fittings; - Increased production volumes by 25 times - Works with design and construction organizations.",Tashkent,
"ZHEJIANG BAIYILUN INTELLIGENT CONTROL SYSTEM CO., LTD",baiyilun.com,,,Uzexpocentre NEC,China,"ZHEJIANG BAIYILUN INTELLIGENT CONTROL SYSTEM CO., LTD",F 36,"The company takes HVAC valves as its core product line, covering a full range of products such as radiator valves, radiator thermostatic valves, radiator thermostats, electronic thermostatic heads, floor heating manifolds, boiler magnetic filters, pressure-reducing valves, electric actuators and fittings, etc., which are adapted to both residential and commercial heating systems. Through continuous innovation, the company's core technical advantages have been formed.",Tashkent,
"ZHEJIANG BAOLILAI SANITARY WARE TECHNOLOGY CO., LTD",tzbaolilai.com,,,Uzexpocentre NEC,China,"ZHEJIANG BAOLILAI SANITARY WARE TECHNOLOGY CO., LTD",K 140,"Zhejiang Baolilai Sanitary Ware Technology Co., Ltd is a private customized floor drain, wash basin drainer, floor drain, bathtub drainer, angle valve, siphon, faucet, shower nozzles, and a series of bathroom products company. The company has sophisticated production equipment, strong technical force, and a high-quality research and development team, adhering to the ""Savour life, feel noble"" concept and cooperating with well-known domestic and foreign designers. From human needs, the fusion of human body engineering, fluid technology, aesthetics, and the latest research results, it has developed nearly a thousand novel designs of fashionable, beautiful, and durable sanitary ware products.",Tashkent,
"ZHEJIANG BEIFENG REFRIGERATION EQUIPMENT CO., LTD",,,,Uzexpocentre NEC,China,"ZHEJIANG BEIFENG REFRIGERATION EQUIPMENT CO., LTD",K 12,The company has a professional history of 40 years in the production and manufacturing of refrigeration equipment.,Tashkent,
"ZHEJIANG CHENDA ELECTRIC CO.,LTD",zjchenda.com,,,Uzexpocentre NEC,China,"ZHEJIANG CHENDA ELECTRIC CO.,LTD",K 159,"The company is a modern enterprise specializing in the production of office file cabinets, shelves, dense racks, tool boxes, tool cabinets, electric beds, smart kitchenware, smart household appliances and other products. It has four factories, covering an area of 48,000 square meters and a construction area of 120,000 square meters. It has more than 400 employees, more than 50 professional and technical personnel, and fixed assets of 180 million yuan.The company has strong product design and development capabilities, and has introduced advanced production equipment and production technology at home and abroad to better meet the needs of multi-level customers.",Tashkent,
"ZHEJIANG DOUBLE-LIN VALVES CO., LTD.",double-lin.com,,,Uzexpocentre NEC,China,"ZHEJIANG DOUBLE-LIN VALVES CO., LTD.",H 92,"DOUBLE-LIN is a manufacturing company with global business.It was established in China in 2000. The company headquarters is located in Yuhuan lsland, which is also the main manufacturing base. DOUBLE-LIN products are all self-owned brand.Its business covers more than 100 countries and regions around the world and the Chinese domestic market.The brand founder integrates the business scope into a supplier of comprehensive system solutions, including public buildings and household water control system solutions, public buildings and household heating system solutions, gas safety transmission and use systems solutions, home bathroom hardware solutions and other four major areas.",Tashkent,
"ZHEJIANG FENGHE PIPE INDUSTRY CO., LTD.",fenghepipefit.com,,,Uzexpocentre NEC,China,"ZHEJIANG FENGHE PIPE INDUSTRY CO., LTD.",F 146,"Zhejiang Fenghe Pipe Industry Co., Ltd., established in 2018, is a limited liability company dedicated to the production of electrofusion fittings. The company adheres to quality, utilizing brand-new materials and advanced pre-wiring technology, and rejects post-wiring and small-sized fittings. Its product specifications range from 50 to 800,meeting diverse needs. In 2020, the company achieved a nationwide network layout,with a 5,600 cubic meter factory ensuring stable production. With professional strength,it provides reliable fittings products for the construction, plumbing, and other fields,continuously creating value for customers.",Tashkent,
"ZHEJIANG GL COOLING TECH CO.,LTD.",,,,Uzexpocentre NEC,China,"ZHEJIANG GL COOLING TECH CO.,LTD.",K 90,Our company specializes in the import and export of refrigerants.,Tashkent,
"ZHEJIANG JINGYIFENG TECHNOLOGY CO., LTD.",,,,Uzexpocentre NEC,China,"ZHEJIANG JINGYIFENG TECHNOLOGY CO., LTD.",L 34,"ZheJiang JingYiFeng Technology Co., Ltd. is located at the center of the Chinese water pump industry. Our goal is to help the world sustainably move, improve, and enjoy water, life’s most essential resource. We have been focusing on the technical research, production and marketing of pump accessories products, and has been devoted itself to providing the best pump accessories solutions for the world. Our main products are: Brass fittings Adapters,Non-Return Valves,Pump Accsssories(Impellers,Pump Covers etc.) With high quality products, excellent service and comfortable enviroment,our company shows great honesty to cooperate with you.",Tashkent,
"ZHEJIANG JUFAN COPPER INDUSTRY CO., LTD",jufancopper.com,,,Uzexpocentre NEC,China,"ZHEJIANG JUFAN COPPER INDUSTRY CO., LTD",F 88,"Established in 1991, Zhejiang JUFAN Copper Industry Co., Ltd. is a professional manufacturer and exporter specializing in the design, development, and production of underfloor heating systems and plumbing products. Our product series includes standard brass valves and threaded fittings for plumbing, manifolds, and brass fittings for heating systems. Our factory is located in Yuhuan,Zhejiang — the brass valve production base of mainlandChina. We now cover an area of 80,000 square meters and have over 680 employees working together, generating USD 50 million in annual sales. After 20years of development, JUFANhas become a famous enterprise in the field of floor heating systems and plumbing products.",Tashkent,
"ZHEJIANG KEEN FAUCET CO., LTD.",86keen.com,,,Uzexpocentre NEC,China,"ZHEJIANG KEEN FAUCET CO., LTD.",K 40,"ZHEJIANG KEEN FAUCET CO.,LTD. is a professional production-oriented enterprise which produce kinds of faucets.We have been dedicated into faucet production and exporting business for more than 20 years,with rich production experience and advanced technology.So far,we already had complete production system,quality management system,sales system and service system,and have obtained 100 Appearance Patents and 45 Utility Model Patents. Our products are exported to Germany,Italy,Spain,Poland,Czech Republic and dozens of other countries and praised by all customers.",Tashkent,
"ZHEJIANG MENRED ENVIRONMENTAL TECHNOLOGY CO., LTD.",menred-air.com,,,Uzexpocentre NEC,China,"ZHEJIANG MENRED ENVIRONMENTAL TECHNOLOGY CO., LTD.",F 66,"Founded in 1995, MENRED is a global manufacturing group focused on radiant heating and cooling, ventilation, water purification, and smart home solutions. Zhejiang Menred Environmental Technology is the Group’s HVAC and air quality division, operating a 16,000 m² source factory in Jiaxing with eight production lines and 100+ engineers and specialists. Our portfolio covers Fresh Air Ventilation, Energy Recovery Ventilators, Humidity Control, AHUs, and Central Vacuum Systems, with 200+ SKUs. Certified to CE, UKCA, ISO 9001 and ISO 14001 standards, MENRED holds 200+ patents, has completed 100+ OEM/ODM projects, and serves 1,000+ partners worldwide, advancing sustainable low-carbon, energy-efficient buildings worldwide.",Tashkent,https://www.linkedin.com/company/menred-air/
"ZHEJIANG MINGDA COPPER CO.,LTD",zjmingda.com,,,Uzexpocentre NEC,China,"ZHEJIANG MINGDA COPPER CO.,LTD",H 58,"Mingda company is a comprehensive building material enterprise concentrating in producing, developing & researching plumbing pipes and fittings. The company is specialized in producing PPR pipes, PPR fittings, PPR valves, PPR fiberglass composite pipes, PPR-AL-PPR pipes, PEX / PERT pipes, PEX-AL-PEX pipes, brass screw fittings, brass compression fittings, brass press fittings, brass sliding fittings, stainless steel pipes and fittings, stainless steel manifolds, copper fittings, which are widely used in building water supply, heating system, urban water supply, gas transportation and other fields.",Tashkent,
"ZHEJIANG QIAL TUBING INDUSTRY CO.,LTD",,,,Uzexpocentre NEC,China,"ZHEJIANG QIAL TUBING INDUSTRY CO.,LTD",K 158,"Zhejiang QIAI Pipe Industry Co., LTD., founded in 1996, is a municipal industrial scale enterprise .The company has a registered capital of 50 million yuan, modern production base of more than 60,000 square meters, commercial office area of more than 50,000 square meters. As a leading technology and intelligent manufacturing enterprise in HVAC and natural gas products, it focuses on research and development and production of ""GA""brand stainless steel gas bellows, plumbing stainless steel corrugated hoses, gas-specific ball valves and fittings, PP-R pipes and fittings, aluminum-plastic pipes and fittings, plumbing copper pipe fittings and various ball valves and other products.",Tashkent,
"ZHEJIANG QINGQICHEN ELECTRIC HEATING CO., LTD",qqc-heatingcable.com,,,Uzexpocentre NEC,China,"ZHEJIANG QINGQICHEN ELECTRIC HEATING CO., LTD",F 84,"The company is one of the largest manufacturers of electric heating and related products in China. It has produced self-limiting temperature heating tapes (wires, sheets) and other related products for more than 20 years. It specializes in polymer positive temperature coefficient (PTC) heating. Resistor material research and related product development and manufacturing. After nearly 20 years of development, the core technology of the product has established a large-scale production base, with an annual output of up to 10 million meters of electric heating tape (wire). As a result, the company has become one of the largest heating tape manufacturers in China",Tashkent,
"ZHEJIANG QUZHOU LIANZHOU REFRIGERANTS CO.,LTD",,,,Uzexpocentre NEC,China,"ZHEJIANG QUZHOU LIANZHOU REFRIGERANTS CO.,LTD",L 42,"Zhejiang Quzhou Lianzhou Refrigerants Co., Ltd. is a wholly-owned subsidiary of Zhejiang Juhua Co., Ltd, established in 2006. It is a state-owned manufacturer. The company specializes in the R&D, production and sales of automotive refrigerants and new environmentally friendly mixed refrigerants. It operates automated aerosol-can filling lines, with an annual output of over 30 million cans and an annual filling volume of over 4 million non-refillable cylinders. The company holds ISO 9001, IATF-16949 and “Zhejiang Made” certification, and led the formulation of the national standard for 1,1,1,2-tetrafluoroethane (aerosol-can type) for automotive air conditioning.",Tashkent,
"ZHEJIANG RUIGE VALVE GROUP CO.,LTD",,,,Uzexpocentre NEC,China,"ZHEJIANG RUIGE VALVE GROUP CO.,LTD",H 22,"Zhejiang RUIGE Valve Group Co.,Ltd. was established in 1993, covers an area of 40,000 square meters. With more than 30 years development, RUIGE has been a famous enterprise in field of floor heating system and plumbing products. We have exported our products to Russia, Ukraine, Kazakhstan, Spain, India, Korea, Malaysia, Philippines, Dubai, Jordan, etc.The company has successfully obtained the system certificates ISO9001, ISO14001, ISO45001, the products are certificated by CE, WRAS, ACS, the lab is also certificated by CNAS.",Tashkent,
ZHEJIANG SHIWANG PIPELINE TECHNOLOGY CO.LTD.,,,,Uzexpocentre NEC,China,ZHEJIANG SHIWANG PIPELINE TECHNOLOGY CO.LTD.,F 08,"Zhejiang Shiwang Pipeline Technology Co., Ltd. is a company based in Zhuji City, Zhejiang Province, primarily engaged in engineering and technical research and experimental development, the manufacturing of architectural decoration and plumbing pipeline components, as well as the manufacturing and sales of hardware products.Product range: Specializes in HDPE pipes and fittings (specifications: DN20–DN1600), PPR pipes and fittings (specifications: DN20–DN400), as well as a complete range of complementary products including valves, flanges, tees, elbows, and specialized fire protection metal components.",Tashkent,
"ZHEJIANG TAIFU PUMP CO., LTD",chinataifu.com,,,Uzexpocentre NEC,China,"ZHEJIANG TAIFU PUMP CO., LTD",L 10,"Established in 1993, Zhejiang Taifu Pump is a professional listed pump maker. We supply deep well, solar and submersible pumps for farming, domestic water supply and construction.",Tashkent,
"ZHEJIANG WANJIAN WATER METER CO,.LTD",,,,Uzexpocentre NEC,China,"ZHEJIANG WANJIAN WATER METER CO,.LTD",F 141,"ZHEJIANG WANJIAN WATER METER CO., LTD. offers an extensive range of water meters for residential, industry and agricultural applications with advanced technology from the size 1/2” (Dn15) to 20” (Dn500), automatic reading system, intelligent water meter, test bench of water meter….WANJIAN’s products are distributed in over 80 countries throughout the world and meet world standards of quality and performance including ISO, AWWA standards, Australia National Standard.... Our system is certified by ISO9001: 2000 Quality System Certification; ISO10012: 2003 Measurement System Certification; ISO14000: 2004 Environmental Management System Certification.",Tashkent,
"ZHEJIANG XIAOCHUN SANITARY WARE CO., LTD.",chinaxiaochun.com,,,Uzexpocentre NEC,China,"ZHEJIANG XIAOCHUN SANITARY WARE CO., LTD.",K 22,"Zhejiang Xiaochun Sanitary Ware Co., Ltd. is an enterprise professionally producing plumbing sanitary wares,faucets, angle valves, floor drains, showers, water nozzles, plumbing accessories and other products. Its sales network spreads all over the world,and its products are sold abroad to more than sixty countries and regions including Europe, America, Southeast Asia, Middle East, etc..",Tashkent,
ZHEJIANG XINDONG PUMP INDUSTRY CO. LTD,cnxdpump.com,,,Uzexpocentre NEC,China,ZHEJIANG XINDONG PUMP INDUSTRY CO. LTD,F 156,"ZHEJIANG XINDONG PUMP CO. LTD is located in Zeguo town Wenling City, Zhejiang Province-a city with flourishing pump industry.The company specialized in producing various kinds of pumps.Main products:Peripheral pumps, Jet self-priming pumps，Centrifugal pumps，Horizontal multi-stage pumps,Automatic self-priming peripheral pumps,Submersible drainage pumps,Industry pumps,Deep well pumps.",Tashkent,https://www.linkedin.com/company/Ivy Ke
"ZHEJIANG XINXIN FAN CO.,LTD",,,,Uzexpocentre NEC,China,"ZHEJIANG XINXIN FAN CO.,LTD",K 88,"Zhejiang Xinxin Fan Co., Ltd. is a professional company that produces and processes small aluminum shell boilerchimney fans, small frequency centrifugal fans, DF fans, small boiler induced draft fans, coaxial duct fans, mediumpressure fans, explosion-proof fans, axial flow fans, ground drying machines, industrial centrifugal fans, and other products",Tashkent,
"ZHEJIANG YUANHUA MACHINERY CO.,LTD.",yuanhuamachine.com,,,Uzexpocentre NEC,China,"ZHEJIANG YUANHUA MACHINERY CO.,LTD.",L 36,"Established in 2002,specialized in tank manufacturing,with more than 200 employees and the annual output more than 1.2 million pieces.Yuanhua tanks are widely used in water system,heating system and solar system,and exported to more than 30 countries including North America,Europe South-east Asia. The company have got the internal certificates including ISO9001,CE,KC,NSF61 etc.",Tashkent,
"ZHONGKE HUANLI CORP.,LTD.",,,,Uzexpocentre NEC,China,"ZHONGKE HUANLI CORP.,LTD.",K 116,"HUANLl has worked with over 420 customers from different countries, and its products are widely used in family villas, high-rise buildings, factories, water treatment, and other fields. HUANLl has been certified with UL, CSA, TUV, CE, and has won plenty of honors, such as ""High-tech Enterprise"" in China and ""EU Market Recommended Products."" Huanli has also cooperated with global famous brands, building a complete production, marketing, and research system of ""Chinese-made products, international technology, and global sales"" to achieve mutual benefit.",Tashkent,
"ZHONGSHAN CITY XUELE KITCHENWARE APPLIANCE CO., LTD",,,,Uzexpocentre NEC,China,"ZHONGSHAN CITY XUELE KITCHENWARE APPLIANCE CO., LTD",F 28,"Zhong shan City Xuele Kitchenware Appliance Co., Ltd wasfounded in 1997 and integrates the development, production,and service of OEM ovens, heaters, gas hob, cookers and metal stamping.",Tashkent,
"ZHONGSHAN HENGLE ELECTRICAL APPLIANCE CO., LTD",,,,Uzexpocentre NEC,China,"ZHONGSHAN HENGLE ELECTRICAL APPLIANCE CO., LTD",K 50,"Zhongshan Hengle Electric Co., Ltd. specializes in gas water heaters and gas wall-hung boilers. We focus on reliable quality and stable performance, offering safe, energy-saving heating and hot water solutions for households.",Tashkent,
"ZHONGSHAN YATELEE ELECTRONIC TECHNOLOGY CO.,LTD",zhongshanyatelee.com,,,Uzexpocentre NEC,China,"ZHONGSHAN YATELEE ELECTRONIC TECHNOLOGY CO.,LTD",F 22,"Zhongshan Yatelee Electrical Technology Co., Ltd. is a high-tech enterprise integrating air conditioning and heating automatic control, floor heating, wall-hung boilers, fresh air systems, heat pumps, building automation and smart home products. It also engages in OEM/ODM R&D, manufacturing, sales of electronic products and integrated system solutions. Committed to research in the air conditioning and heating industry, Yatelee aims to achieve top-tier levels of scientific research and technology in the sector. With years of accumulated industry experience, Yatelee boasts independent R&D capabilities, superior experimental environments, rigorous testing systems and standardized production bases.",Tashkent,
"ZHOUZHOU MACHINERY CO.,LTD",zhouzhoufan.com,,,Uzexpocentre NEC,China,"ZHOUZHOU MACHINERY CO.,LTD",F 144,"Zhouzhou Electromechanical Co., Ltd. was established in 2016 and occupies a site area of over 20,000 square meters.The product range includes household fans, residential fans, industrial fans, engineering fans, fire protection fans, building fans, environmental protection fans, corrosion-resistant fans, explosion-proof fans, and fans designed for various types of equipment.For many years, the company has adhered to a business philosophy centered on ""respecting knowledge, driving growth through technology, embracing innovation and reform, and pursuing excellence,"" focusing on enhancing product quality and boosting brand awareness, which has enabled its products to reach customers across China and around the world.",Tashkent,https://www.linkedin.com/company/
"ZHUANGPU PLUMBING, KAIPING.",,,,Uzexpocentre NEC,Uzbekistan,"ZHUANGPU PLUMBING, KAIPING.",K 154,"ZhuangPu sanitariya-tesisat, fabrikamız Kaiping shahrida joylashgan.",Tashkent,
ZHUJI HENGKE PIPELINE,,,,Uzexpocentre NEC,Uzbekistan,ZHUJI HENGKE PIPELINE,K 150,Rigid ethylene (polyethylene) polymer pipes designed for installing underfloor heating systems. They are used to circulate the heat-transfer fluid inside the heating circuit.,Tashkent,https://www.linkedin.com/company/yoq
"ZHUJI JOINTHERM WELDING EQUIPMENT CO., LTD",jointhermwelder.com,,,Uzexpocentre NEC,China,"ZHUJI JOINTHERM WELDING EQUIPMENT CO., LTD",L 68,"We have a professional technical R&D team and an experienced production management team,and have established a complete quality control system and after-sales service network.",Tashkent,
"АЛЬТЕРПЛАСТ / АО ""ТВВД""",,,,Uzexpocentre NEC,Russian Federation,"АЛЬТЕРПЛАСТ / АО ""ТВВД""",H 94,"Alterplast is a manufacturer and supplier of products for water supply, heating and sewage engineering systems. The company offers a wide range of solutions for professional installation and complete project supply, including piping systems, fittings, radiators, shut-off and thermostatic valves, pumping equipment, heating automation, installation tools and thermal insulation. The company’s brand portfolio includes TEBO technics, ALTSTREAM, HUMALT, RADENA and EVOLUTION. Regular stock availability, flexible pricing, technical support and a complete set of technical documentation allow the company to provide reliable solutions for private housing, commercial and industrial projects.",Tashkent,
ИНЖКОМЦЕНТР ВВД,,,,Uzexpocentre NEC,Russian Federation,ИНЖКОМЦЕНТР ВВД,H 50,"Inzhcomcenter VVD has been crafting products since 1999, paying meticulous attention to every single element. Today the company offers a wide range of products, including: electric and wood‑burning stoves for baths and saunas; stainless steel chimney systems; drenching devices for baths and saunas; high‑tech steam room devices, such as the “Fog” system, automatic water supply (“Autofeed”), “Rain” system, electric steaming devices for bath brooms, and others.",Tashkent,
